fan_id,acquisition_date,market,segment,acquisition_channel,age_group,gender,country_of_origin,email_opt_in,app_downloaded,ticket_purchase_intent,merch_purchase_intent,season_ticket_conversion,predicted_ltv_usd,engagement_score,churn_risk
FAN000037,2026-06-29,New York,Casual Viewer,Social Media,35-44,Male,USA,True,False,0,0,0,139.99,90.4,Medium
FAN000038,2026-06-19,Miami,New to Soccer,Email Campaign,55+,Male,Argentina,True,False,0,0,1,110.12,100.0,Medium
FAN000039,2026-07-22,Los Angeles,New to Soccer,Digital Ad,45-54,Female,Brazil,True,True,0,1,0,109.23,73.2,Medium
FAN000040,2026-07-04,Houston,Converted Fan,Digital Ad,55+,Male,USA,True,False,0,0,0,327.19,38.7,High
FAN000041,2026-06-21,San Francisco,Converted Fan,Digital Ad,45-54,Female,Germany,True,False,1,1,0,391.78,34.7,Medium
FAN000042,2026-07-07,San Francisco,Converted Fan,Digital Ad,25-34,Male,England,True,True,0,1,1,403.72,100.0,Low
FAN000043,2026-06-14,New York,Lapsed Fan,Partner Referral,35-44,Female,USA,True,False,0,0,1,200.39,67.5,High
FAN000044,2026-09-10,Boston,Lapsed Fan,Digital Ad,25-34,Male,Other,True,True,0,1,1,249.17,100.0,High
FAN000045,2026-06-27,Houston,Casual Viewer,Partner Referral,25-34,Male,USA,True,True,0,0,0,181.1,54.8,High
FAN000046,2026-07-20,Miami,Converted Fan,Digital Ad,18-24,Male,USA,True,True,0,0,1,448.88,70.0,High
FAN000047,2026-06-29,Los Angeles,Casual Viewer,Social Media,25-34,Male,USA,True,False,0,0,0,120.61,50.5,Low
FAN000048,2026-07-08,Chicago,Casual Viewer,Social Media,35-44,Male,USA,True,False,0,0,0,140.9,61.9,High
FAN000049,2026-07-10,San Francisco,Casual Viewer,Email Campaign,18-24,Male,Other,True,True,0,0,0,128.96,37.1,Medium
FAN000050,2026-06-24,Boston,Casual Viewer,Digital Ad,35-44,Female,USA,True,False,1,0,0,131.79,57.4,Medium
FAN000051,2026-10-14,Chicago,Casual Viewer,Email Campaign,35-44,Male,USA,True,False,0,0,0,130.99,50.6,Medium
FAN000052,2026-08-05,San Francisco,Converted Fan,Email Campaign,25-34,Male,Other,True,False,1,1,0,442.96,19.1,Medium
FAN000053,2026-09-26,Los Angeles,Casual Viewer,Social Media,35-44,Male,Mexico,False,False,0,1,0,120.16,60.1,High
FAN000054,2026-09-04,Seattle,New to Soccer,Social Media,25-34,Female,Mexico,True,False,0,0,1,84.87,31.0,Medium
FAN000055,2026-07-13,Miami,Lapsed Fan,Digital Ad,25-34,Male,Mexico,True,False,0,1,0,215.9,11.4,Medium
FAN000056,2026-09-16,Boston,Lapsed Fan,Partner Referral,18-24,Male,USA,False,True,0,0,1,269.49,39.9,Medium
FAN000057,2026-06-19,Houston,Lapsed Fan,Email Campaign,18-24,Male,USA,True,True,0,0,0,256.21,29.5,Medium
FAN000058,2026-06-25,Los Angeles,Lapsed Fan,Digital Ad,45-54,Male,Mexico,True,True,0,1,1,226.6,69.0,Low
FAN000059,2026-06-15,Chicago,Casual Viewer,Organic Search,45-54,Male,USA,True,True,0,1,1,121.99,46.9,Medium
FAN000060,2026-06-30,Chicago,Casual Viewer,Email Campaign,25-34,Female,Other,True,False,0,0,0,148.97,46.7,Low
FAN000061,2026-07-02,Los Angeles,New to Soccer,Digital Ad,25-34,Male,USA,True,False,0,0,0,109.7,3.7,High
FAN000062,2026-06-28,Los Angeles,Converted Fan,Digital Ad,25-34,Female,Germany,True,False,0,0,1,456.43,29.4,Medium
FAN000063,2026-08-16,Boston,Casual Viewer,Digital Ad,35-44,Male,USA,True,False,1,0,0,169.17,40.7,High
FAN000064,2026-07-01,New York,Casual Viewer,Digital Ad,35-44,Male,Other,False,True,0,0,1,170.63,9.1,Low
FAN000065,2026-06-28,Denver,New to Soccer,Digital Ad,18-24,Male,Other,True,True,0,0,0,107.72,8.0,Medium
FAN000066,2026-07-09,New York,Casual Viewer,Partner Referral,25-34,Female,Other,False,False,0,0,0,150.52,75.2,Medium
FAN000067,2026-06-22,Other,Converted Fan,Email Campaign,18-24,Female,USA,False,False,1,0,1,418.5,62.6,Medium
FAN000068,2026-08-10,Other,Lapsed Fan,Digital Ad,35-44,Non-binary/Other,USA,True,False,1,0,1,258.45,53.1,High
FAN000069,2026-06-18,Chicago,New to Soccer,Organic Search,18-24,Female,Mexico,True,False,0,1,1,104.84,46.9,High
FAN000070,2026-10-24,Other,Casual Viewer,Digital Ad,55+,Male,Other,True,False,0,0,0,124.69,63.7,Medium
FAN000071,2026-08-04,Atlanta,Converted Fan,Email Campaign,35-44,Male,Mexico,False,True,0,0,1,426.29,64.9,High
FAN000072,2026-06-25,New York,New to Soccer,Email Campaign,25-34,Male,Argentina,False,True,0,0,0,78.93,66.9,Medium
FAN000073,2026-06-11,Other,Casual Viewer,Email Campaign,45-54,Female,USA,False,True,0,0,0,140.65,42.6,Low
FAN000074,2026-08-13,New York,Casual Viewer,Email Campaign,25-34,Male,Germany,False,False,0,0,0,116.49,55.0,Low
FAN000075,2026-07-25,Los Angeles,Casual Viewer,Social Media,45-54,Male,Other,True,True,1,0,0,163.84,24.4,Low
FAN000076,2026-07-28,Miami,Converted Fan,Organic Search,18-24,Male,England,True,True,1,0,1,407.29,50.3,Low
FAN000077,2026-08-04,New York,Casual Viewer,Email Campaign,45-54,Male,Argentina,True,False,0,1,0,159.46,31.3,Low
FAN000078,2026-06-18,New York,Lapsed Fan,Social Media,25-34,Female,USA,True,True,0,0,0,229.29,0.0,Medium
FAN000079,2026-07-01,Other,Converted Fan,In-Stadium,45-54,Female,USA,True,False,1,1,1,360.17,85.4,Medium
FAN000080,2026-06-21,Other,Converted Fan,In-Stadium,35-44,Female,Mexico,True,True,1,0,0,411.95,45.9,Medium
FAN000081,2026-08-25,Seattle,Converted Fan,Partner Referral,25-34,Male,Colombia,True,False,0,0,0,390.29,73.1,High
FAN000082,2026-07-15,Houston,New to Soccer,Email Campaign,25-34,Male,Mexico,False,True,0,0,0,98.24,61.5,Low
FAN000083,2026-06-30,Denver,Converted Fan,Digital Ad,18-24,Male,USA,False,False,1,0,1,404.39,60.2,Low
FAN000084,2026-06-17,New York,Casual Viewer,Organic Search,45-54,Male,USA,True,True,0,0,0,137.86,16.3,Low
FAN000085,2026-06-29,Other,Casual Viewer,Partner Referral,45-54,Male,Mexico,True,True,0,0,0,134.21,16.2,Medium
FAN000086,2026-06-30,Chicago,Lapsed Fan,Organic Search,18-24,Male,USA,True,True,0,0,1,193.12,69.2,High
FAN000087,2026-07-29,Atlanta,Lapsed Fan,Digital Ad,35-44,Female,USA,True,True,0,1,0,224.04,72.3,Low
FAN000088,2026-07-17,Dallas,Lapsed Fan,Organic Search,45-54,Female,USA,True,True,0,0,1,193.99,42.3,Low
FAN000089,2026-09-02,Other,New to Soccer,Organic Search,25-34,Male,Mexico,False,True,0,0,0,102.43,50.7,High
FAN000090,2026-07-06,Atlanta,Converted Fan,Social Media,45-54,Male,Mexico,True,False,0,1,0,420.23,21.6,High
FAN000091,2026-06-21,Denver,Casual Viewer,Digital Ad,18-24,Female,USA,True,True,0,0,0,184.52,51.8,Low
FAN000092,2026-07-26,Dallas,New to Soccer,Email Campaign,35-44,Male,England,True,True,0,1,1,105.86,91.4,Low
FAN000093,2026-08-02,Seattle,Converted Fan,Email Campaign,35-44,Male,USA,True,False,0,1,1,292.63,54.5,Low
FAN000094,2026-07-10,Boston,Casual Viewer,Email Campaign,25-34,Male,Mexico,False,True,0,0,0,150.6,75.3,High
FAN000095,2026-08-04,New York,Converted Fan,Social Media,18-24,Male,USA,False,False,1,1,1,446.91,59.2,Low
FAN000096,2026-07-07,Dallas,Converted Fan,Digital Ad,18-24,Female,Mexico,False,False,1,0,1,355.76,53.8,Medium
FAN000097,2026-07-08,New York,Converted Fan,Email Campaign,25-34,Male,Other,True,False,1,1,1,430.39,59.5,Medium
FAN000098,2026-07-04,Atlanta,New to Soccer,Social Media,55+,Non-binary/Other,USA,True,False,0,0,0,102.0,58.7,Medium
FAN000099,2026-06-13,New York,Casual Viewer,Digital Ad,45-54,Male,Colombia,True,False,0,0,0,168.54,34.9,High
FAN000100,2026-06-20,Other,Casual Viewer,Digital Ad,35-44,Male,USA,True,False,0,0,0,152.76,28.0,High
FAN000101,2026-06-14,Chicago,New to Soccer,Partner Referral,18-24,Female,USA,True,False,0,1,0,95.76,80.6,Low
FAN000102,2026-07-17,New York,Casual Viewer,Partner Referral,25-34,Male,USA,True,True,0,0,0,144.08,47.3,Low
FAN000103,2026-06-29,Other,Lapsed Fan,Partner Referral,18-24,Female,Mexico,True,False,1,1,0,215.37,100.0,Medium
FAN000104,2026-07-08,New York,Casual Viewer,Digital Ad,45-54,Female,USA,False,False,1,0,0,139.59,42.0,High
FAN000105,2026-09-10,Houston,New to Soccer,Digital Ad,45-54,Female,Mexico,True,False,0,0,0,79.01,51.6,Medium
FAN000106,2026-06-27,Boston,New to Soccer,Digital Ad,25-34,Male,Mexico,True,True,0,0,0,101.37,37.6,High
FAN000107,2026-07-03,Los Angeles,Casual Viewer,TV Promotion,35-44,Male,USA,False,True,1,0,1,163.45,47.9,Low
FAN000108,2026-08-02,Houston,Casual Viewer,Digital Ad,18-24,Male,USA,True,True,0,0,0,157.85,73.4,Low
FAN000109,2026-06-26,San Francisco,New to Soccer,Organic Search,45-54,Male,Mexico,True,False,0,0,0,94.55,38.4,High
FAN000110,2026-06-18,Other,Lapsed Fan,Email Campaign,25-34,Female,Mexico,True,False,0,0,1,202.75,65.8,High
FAN000111,2026-06-28,New York,Casual Viewer,Digital Ad,18-24,Male,USA,True,False,0,0,0,126.38,71.4,Medium
FAN000112,2026-06-23,New York,Casual Viewer,Social Media,25-34,Female,USA,False,True,0,1,0,119.42,35.8,High
FAN000113,2026-09-21,Houston,Converted Fan,In-Stadium,25-34,Non-binary/Other,USA,False,True,1,1,1,417.09,62.0,Low
FAN000114,2026-08-11,Chicago,New to Soccer,Digital Ad,35-44,Female,Other,False,True,0,0,0,98.6,58.5,High
FAN000115,2026-07-16,Chicago,Casual Viewer,Email Campaign,25-34,Female,Mexico,False,False,0,0,1,132.95,40.9,Low
FAN000116,2026-08-27,Los Angeles,Lapsed Fan,Social Media,25-34,Female,USA,True,False,0,1,1,225.56,42.3,Medium
FAN000117,2026-08-10,Miami,Casual Viewer,Digital Ad,35-44,Male,Brazil,True,False,0,1,0,153.68,70.2,High
FAN000118,2026-06-24,Denver,Converted Fan,Social Media,45-54,Male,USA,True,True,0,1,1,485.01,54.1,Low
FAN000119,2026-09-04,New York,Lapsed Fan,Partner Referral,35-44,Male,England,True,False,0,0,0,163.51,78.2,Medium
FAN000120,2026-07-09,Los Angeles,Casual Viewer,Partner Referral,18-24,Female,USA,False,False,0,0,0,120.65,34.1,Low
FAN000121,2026-08-11,Dallas,Casual Viewer,Digital Ad,25-34,Male,USA,False,True,0,0,0,199.2,49.2,High
FAN000122,2026-09-05,New York,Lapsed Fan,Social Media,45-54,Male,USA,True,False,0,0,0,207.82,35.6,Medium
FAN000123,2026-06-30,Dallas,Casual Viewer,Social Media,35-44,Female,Argentina,False,True,1,0,0,145.45,63.6,Medium
FAN000124,2026-06-20,Los Angeles,Lapsed Fan,Partner Referral,25-34,Female,Other,True,True,0,0,1,223.11,73.2,High
FAN000125,2026-06-26,Chicago,Lapsed Fan,Social Media,18-24,Female,Mexico,True,False,0,1,0,187.05,30.0,Medium
FAN000126,2026-07-04,Chicago,Converted Fan,Social Media,55+,Male,USA,True,True,1,1,1,342.95,55.8,High
FAN000127,2026-08-13,Chicago,Casual Viewer,Partner Referral,35-44,Male,Colombia,True,True,0,1,1,124.32,61.2,Low
FAN000128,2026-08-24,Atlanta,Converted Fan,In-Stadium,45-54,Male,Mexico,True,False,1,1,1,287.25,62.2,Low
FAN000129,2026-06-11,Other,Lapsed Fan,Social Media,18-24,Male,Colombia,True,False,0,1,0,242.58,23.9,Low
FAN000130,2026-07-08,Miami,New to Soccer,TV Promotion,25-34,Male,Colombia,True,False,0,0,0,118.75,54.9,Low
FAN000131,2026-07-03,Miami,Lapsed Fan,Email Campaign,55+,Male,USA,False,False,0,1,1,188.57,23.3,Medium
FAN000132,2026-06-26,New York,Lapsed Fan,Digital Ad,25-34,Male,Mexico,True,True,0,1,0,257.13,86.0,Low
FAN000133,2026-06-21,San Francisco,Casual Viewer,Social Media,45-54,Female,USA,True,False,1,0,0,150.54,45.4,Low
FAN000134,2026-06-30,Miami,Casual Viewer,Email Campaign,45-54,Male,USA,False,False,0,0,1,172.67,68.2,Medium
FAN000135,2026-09-28,New York,New to Soccer,Partner Referral,18-24,Male,Mexico,False,True,1,0,0,101.27,82.6,High
FAN000136,2026-06-30,Los Angeles,Lapsed Fan,Email Campaign,35-44,Female,Other,False,True,1,0,0,241.34,64.0,Medium
FAN000137,2026-07-08,Los Angeles,Converted Fan,Digital Ad,35-44,Male,USA,True,False,0,1,1,409.05,61.0,Medium
FAN000138,2026-07-25,New York,New to Soccer,Social Media,25-34,Female,Argentina,True,True,0,0,0,86.14,59.0,High
FAN000139,2026-07-01,Dallas,New to Soccer,Digital Ad,18-24,Male,Other,False,True,0,0,0,99.87,47.0,Medium
FAN000140,2026-10-15,Other,Lapsed Fan,In-Stadium,25-34,Male,USA,False,False,0,0,0,226.24,36.3,Medium
FAN000141,2026-10-10,Boston,Converted Fan,Digital Ad,18-24,Female,USA,False,False,0,1,1,467.27,83.0,Low
FAN000142,2026-06-27,Houston,Casual Viewer,Digital Ad,25-34,Male,Mexico,False,True,0,0,0,151.27,50.5,Low
FAN000143,2026-07-07,Chicago,New to Soccer,Partner Referral,45-54,Male,USA,True,False,0,0,1,81.27,60.8,High
FAN000144,2026-06-29,Chicago,Converted Fan,Digital Ad,45-54,Male,USA,True,False,1,1,0,359.57,46.1,Medium
FAN000145,2026-06-28,Miami,New to Soccer,Partner Referral,55+,Male,Brazil,True,True,0,0,0,107.61,59.0,High
FAN000146,2026-06-15,Chicago,New to Soccer,Email Campaign,35-44,Male,Other,False,False,0,0,0,89.33,36.6,Low
FAN000147,2026-07-14,Los Angeles,Converted Fan,Social Media,25-34,Male,Mexico,False,True,1,1,0,374.19,73.1,Low
FAN000148,2026-07-07,Miami,Lapsed Fan,Digital Ad,25-34,Male,USA,True,False,1,0,1,214.25,76.9,High
FAN000149,2026-06-16,Chicago,Casual Viewer,Social Media,35-44,Male,Mexico,True,True,0,0,0,104.43,43.5,Medium
FAN000150,2026-06-28,New York,Lapsed Fan,Digital Ad,45-54,Male,Brazil,True,True,0,0,0,220.47,35.7,High
FAN000151,2026-09-10,New York,Casual Viewer,Digital Ad,35-44,Female,USA,False,False,0,0,0,169.74,63.8,High
FAN000152,2026-06-26,Los Angeles,Lapsed Fan,Social Media,25-34,Female,USA,True,True,1,0,1,139.12,52.7,Medium
FAN000153,2026-06-22,Houston,Casual Viewer,In-Stadium,45-54,Male,Mexico,True,False,0,0,0,135.86,71.2,Low
FAN000154,2026-07-07,Chicago,Converted Fan,Social Media,35-44,Female,England,True,True,0,0,1,305.83,58.7,Medium
FAN000155,2026-10-23,New York,Converted Fan,Email Campaign,25-34,Female,Brazil,True,True,1,0,1,389.72,63.1,High
FAN000156,2026-06-27,Los Angeles,Converted Fan,Organic Search,25-34,Male,Mexico,False,False,0,0,1,391.2,18.5,Low
FAN000157,2026-07-21,New York,Lapsed Fan,Social Media,18-24,Female,Mexico,True,True,1,1,0,220.53,85.1,High
FAN000158,2026-08-03,Other,Lapsed Fan,Email Campaign,35-44,Non-binary/Other,USA,True,False,0,0,1,229.34,61.2,Medium
FAN000159,2026-06-26,Los Angeles,Lapsed Fan,Digital Ad,25-34,Male,Mexico,True,False,0,0,0,192.8,37.6,Medium
FAN000160,2026-07-28,New York,Lapsed Fan,Digital Ad,25-34,Male,Colombia,True,False,0,1,1,165.87,88.4,High
FAN000161,2026-07-01,Dallas,New to Soccer,Email Campaign,45-54,Male,England,True,True,0,0,0,91.35,48.0,Medium
FAN000162,2026-07-16,Los Angeles,Converted Fan,Digital Ad,18-24,Female,Argentina,False,False,0,1,0,334.28,42.4,Medium
FAN000163,2026-07-16,Miami,Casual Viewer,Digital Ad,25-34,Female,Other,False,False,0,1,0,140.28,52.6,Low
FAN000164,2026-07-09,New York,Casual Viewer,Digital Ad,45-54,Male,Mexico,True,True,0,0,0,136.7,40.8,Medium
FAN000165,2026-06-19,Other,Converted Fan,Digital Ad,25-34,Male,USA,False,False,0,1,0,340.64,52.2,Medium
FAN000166,2026-08-17,Other,Casual Viewer,Digital Ad,25-34,Male,England,True,False,0,0,0,142.75,31.3,Medium
FAN000167,2026-06-30,Dallas,Converted Fan,Digital Ad,35-44,Male,Mexico,False,False,1,1,0,442.56,32.1,Low
FAN000168,2026-06-24,San Francisco,Casual Viewer,Partner Referral,25-34,Female,Mexico,True,False,0,0,0,165.21,69.1,Medium
FAN000169,2026-06-15,Chicago,Lapsed Fan,Social Media,35-44,Male,USA,False,False,0,0,0,207.97,37.2,Medium
FAN000170,2026-07-13,Other,New to Soccer,Email Campaign,45-54,Male,Colombia,True,False,0,1,0,107.16,65.6,Medium
FAN000171,2026-07-22,Chicago,Casual Viewer,Partner Referral,55+,Male,USA,True,False,0,0,0,101.95,70.3,Low
FAN000172,2026-06-12,Los Angeles,New to Soccer,Social Media,55+,Male,Mexico,True,False,0,0,1,85.46,85.4,Low
FAN000173,2026-07-08,New York,Casual Viewer,In-Stadium,25-34,Female,Brazil,False,True,0,0,0,74.79,69.2,Medium
FAN000174,2026-06-26,Los Angeles,Lapsed Fan,In-Stadium,35-44,Female,Brazil,True,False,0,1,0,171.12,39.5,High
FAN000175,2026-07-18,Miami,Casual Viewer,Social Media,25-34,Male,Argentina,True,False,0,0,0,148.64,81.0,High
FAN000176,2026-06-24,Los Angeles,Casual Viewer,Partner Referral,18-24,Male,Mexico,False,False,0,0,0,130.29,50.1,Medium
FAN000177,2026-07-23,Dallas,Converted Fan,Social Media,35-44,Female,Colombia,True,False,0,1,0,297.02,57.3,Medium
FAN000178,2026-07-02,Chicago,Casual Viewer,Partner Referral,35-44,Male,USA,True,True,0,0,0,148.87,34.4,Low
FAN000179,2026-09-25,Denver,Casual Viewer,TV Promotion,25-34,Female,USA,False,False,0,1,1,128.84,32.6,Medium
FAN000180,2026-06-22,Miami,Lapsed Fan,Social Media,45-54,Male,USA,False,True,0,0,1,249.78,75.8,Medium
FAN000181,2026-06-30,Dallas,Casual Viewer,Email Campaign,18-24,Female,USA,False,False,0,1,0,91.09,66.2,Medium
FAN000182,2026-06-20,Miami,New to Soccer,Social Media,35-44,Female,Other,True,False,0,0,0,105.16,83.1,Low
FAN000183,2026-09-18,Denver,Lapsed Fan,Social Media,35-44,Female,Mexico,True,False,0,0,0,291.28,54.3,High
FAN000184,2026-08-29,New York,Converted Fan,Digital Ad,25-34,Male,USA,True,True,1,0,1,521.53,74.7,Medium
FAN000185,2026-06-27,New York,Lapsed Fan,Social Media,55+,Female,USA,True,False,1,0,1,233.51,39.6,High
FAN000186,2026-07-19,San Francisco,Lapsed Fan,Email Campaign,35-44,Female,Argentina,True,False,1,0,0,247.33,26.7,Medium
FAN000187,2026-08-13,Boston,Converted Fan,Social Media,45-54,Female,USA,False,False,0,1,0,367.39,43.6,High
FAN000188,2026-07-10,Chicago,Lapsed Fan,Social Media,35-44,Male,USA,True,False,1,0,1,195.42,51.4,High
FAN000189,2026-07-09,Chicago,New to Soccer,Social Media,45-54,Female,Mexico,True,True,0,1,0,92.98,23.4,Low
FAN000190,2026-06-26,Los Angeles,New to Soccer,Social Media,55+,Female,Colombia,False,True,0,0,0,83.48,74.0,Low
FAN000191,2026-06-19,Los Angeles,New to Soccer,Digital Ad,35-44,Non-binary/Other,USA,False,True,0,0,0,63.5,75.0,High
FAN000192,2026-09-05,Denver,New to Soccer,In-Stadium,25-34,Female,USA,True,False,0,0,0,91.33,86.3,Low
FAN000193,2026-09-07,Los Angeles,Lapsed Fan,Organic Search,35-44,Male,Germany,False,False,1,1,1,195.58,54.1,Low
FAN000194,2026-07-16,Dallas,Converted Fan,Digital Ad,25-34,Female,Mexico,True,False,0,1,1,316.23,53.4,High
FAN000195,2026-06-30,Boston,Converted Fan,Email Campaign,45-54,Female,Mexico,True,True,0,0,1,338.3,64.6,Low
FAN000196,2026-07-01,New York,Lapsed Fan,Social Media,55+,Female,Argentina,True,False,0,1,0,221.61,41.8,High
FAN000197,2026-07-28,New York,New to Soccer,Email Campaign,25-34,Male,USA,True,True,0,0,0,122.1,65.6,Low
FAN000198,2026-09-05,Los Angeles,Casual Viewer,Social Media,25-34,Male,Colombia,False,True,0,1,0,145.0,55.8,Medium
FAN000199,2026-09-02,San Francisco,New to Soccer,Digital Ad,55+,Non-binary/Other,Other,False,False,0,0,0,94.56,18.0,Low
FAN000200,2026-08-06,Los Angeles,New to Soccer,Digital Ad,25-34,Male,Argentina,True,False,0,1,0,94.53,71.0,High
FAN000201,2026-07-17,New York,Casual Viewer,Social Media,18-24,Non-binary/Other,Germany,True,False,0,0,0,145.29,20.4,High
FAN000202,2026-06-19,Los Angeles,Lapsed Fan,Digital Ad,35-44,Male,USA,True,False,0,1,0,200.05,71.6,Low
FAN000203,2026-06-23,New York,New to Soccer,Social Media,18-24,Male,USA,True,True,0,0,0,95.19,14.3,Medium
FAN000204,2026-09-06,Los Angeles,New to Soccer,Organic Search,35-44,Male,Mexico,True,False,0,0,0,81.84,58.7,Low
FAN000205,2026-07-14,Los Angeles,Casual Viewer,Digital Ad,35-44,Male,Mexico,False,False,1,1,0,143.59,55.7,High
FAN000206,2026-06-12,New York,New to Soccer,Partner Referral,35-44,Male,USA,False,False,0,1,0,108.72,25.4,High
FAN000207,2026-06-20,San Francisco,Casual Viewer,Social Media,25-34,Female,USA,True,False,0,0,0,125.0,43.4,Medium
FAN000208,2026-07-20,Los Angeles,Casual Viewer,Digital Ad,18-24,Male,USA,False,False,0,0,0,95.72,44.0,Medium
FAN000209,2026-06-11,Dallas,Casual Viewer,Digital Ad,25-34,Female,Other,True,True,0,1,0,140.02,16.0,Low
FAN000210,2026-06-23,Miami,Converted Fan,TV Promotion,25-34,Male,USA,True,False,0,0,1,353.63,75.7,High
FAN000211,2026-07-10,Denver,New to Soccer,Social Media,18-24,Male,Brazil,True,False,1,0,0,94.76,62.5,Medium
FAN000212,2026-07-23,New York,Casual Viewer,Digital Ad,45-54,Non-binary/Other,Mexico,True,False,0,0,0,123.74,67.3,Low
FAN000213,2026-07-18,Los Angeles,Converted Fan,Email Campaign,18-24,Female,USA,True,False,1,1,0,390.83,54.5,Low
FAN000214,2026-06-26,Atlanta,Casual Viewer,Digital Ad,35-44,Male,Mexico,False,False,0,0,1,121.72,51.7,Low
FAN000215,2026-07-26,Seattle,Casual Viewer,In-Stadium,25-34,Male,USA,True,False,0,1,0,181.17,8.8,Medium
