fan_id,segment,campaign_type,emails_sent,email_open_rate,click_through_rate,app_sessions_30d,push_opt_in,days_since_last_touch,journey_stage,revenue_generated_usd
FAN000046,New to Soccer,Ticket Upsell,3,0.38,0.026,42,False,41,Consideration,16.39
FAN000047,New to Soccer,Content Newsletter,1,0.264,0.064,12,False,67,Conversion,16.34
FAN000048,Converted Fan,Welcome Series,9,0.226,0.022,19,False,49,Loyalty,199.83
FAN000049,Lapsed Fan,Content Newsletter,3,0.391,0.071,27,True,54,Churned,64.02
FAN000050,Converted Fan,Re-engagement,4,0.28,0.055,23,True,43,Loyalty,274.3
FAN000051,Casual Viewer,Ticket Upsell,4,0.458,0.095,6,True,57,Churned,71.44
FAN000052,Lapsed Fan,Re-engagement,1,0.328,0.029,17,True,30,Awareness,6.97
FAN000053,New to Soccer,Merchandise Offer,4,0.411,0.073,34,False,69,Consideration,93.23
FAN000054,Casual Viewer,Loyalty Reward,4,0.284,0.082,0,True,46,Consideration,25.38
FAN000055,Casual Viewer,Welcome Series,7,0.119,0.123,22,True,3,Conversion,95.7
FAN000056,Converted Fan,Welcome Series,11,0.328,0.028,9,True,54,Awareness,102.5
FAN000057,Converted Fan,Merchandise Offer,1,0.299,0.01,11,False,18,Loyalty,21.43
FAN000058,Casual Viewer,Loyalty Reward,2,0.496,0.079,43,True,42,Awareness,4.32
FAN000059,Casual Viewer,Loyalty Reward,7,0.457,0.063,41,False,44,Awareness,61.34
FAN000060,Lapsed Fan,Re-engagement,9,0.304,0.12,1,True,77,Loyalty,83.43
FAN000061,Lapsed Fan,Loyalty Reward,9,0.244,0.105,41,False,8,Conversion,22.08
FAN000062,Converted Fan,Welcome Series,11,0.222,0.154,33,False,51,Churned,29.99
FAN000063,Lapsed Fan,Content Newsletter,7,0.402,0.149,17,False,33,Loyalty,47.13
FAN000064,New to Soccer,Re-engagement,9,0.395,0.096,5,True,28,Awareness,9.61
FAN000065,Casual Viewer,Content Newsletter,2,0.565,0.196,41,True,8,Awareness,223.82
FAN000066,Converted Fan,Welcome Series,9,0.329,0.137,20,True,55,Churned,13.43
FAN000067,Converted Fan,Content Newsletter,11,0.303,0.037,35,True,78,Consideration,113.15
FAN000068,New to Soccer,Content Newsletter,9,0.389,0.049,15,False,36,Consideration,21.06
FAN000069,New to Soccer,Ticket Upsell,9,0.496,0.01,14,True,48,Churned,109.83
FAN000070,Converted Fan,Re-engagement,11,0.426,0.112,24,False,15,Loyalty,142.38
FAN000071,Converted Fan,Re-engagement,3,0.431,0.054,15,True,57,Loyalty,3.43
FAN000072,Lapsed Fan,Welcome Series,3,0.344,0.136,26,True,65,Conversion,14.12
FAN000073,Lapsed Fan,Re-engagement,7,0.254,0.124,36,False,60,Consideration,87.0
FAN000074,Converted Fan,Ticket Upsell,4,0.394,0.01,9,True,7,Awareness,86.62
FAN000075,Lapsed Fan,Ticket Upsell,11,0.384,0.066,10,False,25,Awareness,97.22
FAN000076,Converted Fan,Loyalty Reward,11,0.308,0.081,24,True,58,Loyalty,10.26
FAN000077,Casual Viewer,Loyalty Reward,3,0.338,0.01,38,False,42,Conversion,94.59
FAN000078,Casual Viewer,Merchandise Offer,6,0.334,0.131,10,False,7,Churned,9.84
FAN000079,Casual Viewer,Loyalty Reward,4,0.465,0.048,14,True,9,Churned,81.73
FAN000080,Casual Viewer,Welcome Series,11,0.142,0.08,2,False,42,Awareness,259.75
FAN000081,Casual Viewer,Re-engagement,5,0.278,0.109,23,False,49,Awareness,5.65
FAN000082,Converted Fan,Merchandise Offer,9,0.258,0.065,33,True,29,Churned,342.96
FAN000083,Converted Fan,Re-engagement,4,0.408,0.01,3,True,40,Awareness,196.49
FAN000084,Casual Viewer,Welcome Series,2,0.259,0.071,8,False,47,Awareness,57.86
FAN000085,New to Soccer,Loyalty Reward,6,0.16,0.071,0,True,13,Consideration,53.79
FAN000086,Converted Fan,Re-engagement,6,0.281,0.118,35,False,80,Conversion,27.9
FAN000087,New to Soccer,Loyalty Reward,6,0.386,0.126,33,True,40,Loyalty,162.75
FAN000088,Converted Fan,Welcome Series,5,0.372,0.165,14,False,65,Loyalty,113.53
FAN000089,Converted Fan,Merchandise Offer,11,0.498,0.058,27,True,56,Churned,23.8
FAN000090,New to Soccer,Content Newsletter,10,0.373,0.187,30,True,7,Awareness,160.98
FAN000091,Lapsed Fan,Ticket Upsell,9,0.467,0.143,44,False,50,Conversion,8.47
FAN000092,Lapsed Fan,Welcome Series,9,0.352,0.044,5,False,75,Churned,36.6
FAN000093,Converted Fan,Loyalty Reward,5,0.516,0.01,42,True,71,Awareness,22.36
FAN000094,Casual Viewer,Welcome Series,8,0.267,0.029,12,False,52,Loyalty,4.15
FAN000095,Casual Viewer,Welcome Series,2,0.408,0.05,8,True,21,Consideration,153.47
FAN000096,Lapsed Fan,Merchandise Offer,2,0.484,0.119,43,False,42,Consideration,44.84
FAN000097,Lapsed Fan,Loyalty Reward,6,0.312,0.01,30,True,82,Conversion,33.14
FAN000098,Lapsed Fan,Welcome Series,5,0.319,0.037,13,True,16,Churned,42.45
FAN000099,New to Soccer,Re-engagement,9,0.416,0.2,28,True,48,Loyalty,141.04
FAN000100,New to Soccer,Welcome Series,8,0.289,0.01,23,True,20,Conversion,300.33
FAN000101,Casual Viewer,Re-engagement,10,0.415,0.01,2,False,43,Conversion,47.52
FAN000102,Casual Viewer,Content Newsletter,7,0.345,0.052,23,False,80,Churned,19.06
FAN000103,New to Soccer,Ticket Upsell,8,0.522,0.042,23,False,44,Loyalty,59.36
FAN000104,Casual Viewer,Welcome Series,4,0.423,0.032,7,False,53,Conversion,148.54
FAN000105,Casual Viewer,Content Newsletter,3,0.398,0.077,42,True,74,Consideration,32.32
FAN000106,Lapsed Fan,Re-engagement,9,0.29,0.125,13,False,24,Loyalty,20.1
FAN000107,Casual Viewer,Content Newsletter,6,0.198,0.057,21,False,47,Loyalty,55.98
FAN000108,New to Soccer,Ticket Upsell,9,0.136,0.054,31,False,66,Churned,0.49
FAN000109,Casual Viewer,Content Newsletter,6,0.314,0.126,22,True,79,Conversion,88.66
FAN000110,Lapsed Fan,Ticket Upsell,9,0.306,0.082,18,True,73,Awareness,7.43
FAN000111,Converted Fan,Welcome Series,9,0.22,0.089,10,True,86,Conversion,27.27
FAN000112,Lapsed Fan,Welcome Series,10,0.123,0.092,40,False,74,Conversion,38.26
FAN000113,Lapsed Fan,Welcome Series,5,0.23,0.098,41,True,58,Loyalty,194.11
FAN000114,New to Soccer,Ticket Upsell,8,0.197,0.042,31,False,49,Awareness,66.23
FAN000115,Casual Viewer,Ticket Upsell,6,0.243,0.064,22,True,56,Conversion,244.3
FAN000116,New to Soccer,Welcome Series,1,0.318,0.119,32,True,51,Awareness,5.19
FAN000117,Casual Viewer,Welcome Series,10,0.283,0.08,35,False,24,Loyalty,37.99
FAN000118,Casual Viewer,Content Newsletter,6,0.259,0.01,17,True,85,Awareness,39.51
FAN000119,Casual Viewer,Re-engagement,4,0.468,0.103,20,False,2,Awareness,69.57
FAN000120,Converted Fan,Re-engagement,6,0.354,0.107,14,True,84,Conversion,236.49
FAN000121,Converted Fan,Re-engagement,11,0.103,0.032,19,False,89,Conversion,150.22
FAN000122,Lapsed Fan,Loyalty Reward,11,0.309,0.098,25,True,79,Awareness,31.56
FAN000123,Casual Viewer,Re-engagement,6,0.171,0.127,35,True,28,Churned,47.35
FAN000124,New to Soccer,Merchandise Offer,1,0.478,0.122,32,False,33,Awareness,189.75
FAN000125,Converted Fan,Re-engagement,2,0.219,0.027,2,False,33,Awareness,12.04
FAN000126,Casual Viewer,Merchandise Offer,4,0.315,0.129,8,True,38,Conversion,7.05
FAN000127,Lapsed Fan,Content Newsletter,7,0.176,0.047,18,True,0,Conversion,94.59
FAN000128,Converted Fan,Loyalty Reward,3,0.443,0.094,14,True,12,Awareness,55.87
FAN000129,Converted Fan,Ticket Upsell,9,0.354,0.01,3,True,89,Churned,55.68
FAN000130,Converted Fan,Ticket Upsell,5,0.272,0.161,26,False,30,Consideration,41.83
FAN000131,Lapsed Fan,Loyalty Reward,11,0.407,0.173,34,True,47,Conversion,30.34
FAN000132,Casual Viewer,Ticket Upsell,5,0.334,0.11,26,True,66,Awareness,67.07
FAN000133,Converted Fan,Loyalty Reward,9,0.344,0.176,25,True,22,Churned,174.41
FAN000134,New to Soccer,Loyalty Reward,6,0.38,0.134,36,False,56,Conversion,1.12
FAN000135,Converted Fan,Loyalty Reward,1,0.246,0.01,22,True,72,Conversion,93.55
FAN000136,Lapsed Fan,Welcome Series,3,0.311,0.13,22,True,3,Awareness,30.45
FAN000137,Casual Viewer,Re-engagement,8,0.265,0.196,27,False,13,Consideration,7.59
FAN000138,New to Soccer,Ticket Upsell,10,0.27,0.133,8,False,6,Conversion,36.93
FAN000139,Casual Viewer,Welcome Series,3,0.495,0.109,32,True,81,Consideration,80.47
FAN000140,Casual Viewer,Welcome Series,2,0.222,0.166,18,True,57,Loyalty,102.51
FAN000141,Casual Viewer,Merchandise Offer,11,0.194,0.05,16,False,2,Awareness,9.36
FAN000142,Converted Fan,Ticket Upsell,2,0.333,0.047,37,True,62,Awareness,47.07
FAN000143,Lapsed Fan,Content Newsletter,1,0.43,0.115,2,False,89,Churned,195.28
FAN000144,Casual Viewer,Merchandise Offer,5,0.43,0.075,39,False,86,Awareness,79.12
FAN000145,Casual Viewer,Content Newsletter,11,0.298,0.083,0,True,12,Conversion,339.74
FAN000146,New to Soccer,Welcome Series,1,0.302,0.119,4,False,13,Churned,88.88
FAN000147,Lapsed Fan,Welcome Series,8,0.335,0.128,9,True,45,Conversion,106.99
FAN000148,Casual Viewer,Welcome Series,1,0.483,0.103,41,True,87,Loyalty,7.15
FAN000149,Casual Viewer,Loyalty Reward,6,0.255,0.096,21,False,30,Awareness,209.03
FAN000150,Casual Viewer,Re-engagement,2,0.368,0.07,37,True,33,Consideration,0.88
FAN000151,Casual Viewer,Loyalty Reward,4,0.151,0.062,3,True,9,Conversion,126.11
FAN000152,New to Soccer,Content Newsletter,4,0.399,0.116,36,True,34,Conversion,273.36
FAN000153,New to Soccer,Ticket Upsell,6,0.345,0.105,20,False,6,Awareness,43.18
FAN000154,Converted Fan,Merchandise Offer,7,0.553,0.089,25,False,54,Awareness,5.67
FAN000155,Converted Fan,Ticket Upsell,7,0.382,0.01,40,True,0,Conversion,135.72
FAN000156,Converted Fan,Ticket Upsell,3,0.135,0.04,42,False,84,Churned,136.5
FAN000157,New to Soccer,Re-engagement,8,0.359,0.087,6,False,42,Consideration,79.96
FAN000158,Lapsed Fan,Ticket Upsell,3,0.26,0.067,38,True,17,Churned,44.82
FAN000159,Casual Viewer,Loyalty Reward,6,0.05,0.062,11,False,49,Loyalty,44.06
FAN000160,Casual Viewer,Re-engagement,11,0.465,0.121,4,False,19,Consideration,37.33
FAN000161,Casual Viewer,Merchandise Offer,2,0.226,0.072,2,True,74,Awareness,34.02
FAN000162,Converted Fan,Welcome Series,4,0.382,0.054,3,True,74,Consideration,65.6
FAN000163,Converted Fan,Merchandise Offer,6,0.283,0.052,13,True,37,Loyalty,8.54
FAN000164,New to Soccer,Merchandise Offer,7,0.308,0.136,24,False,59,Consideration,27.68
FAN000165,Lapsed Fan,Loyalty Reward,4,0.413,0.047,12,False,70,Awareness,10.66
FAN000166,Casual Viewer,Loyalty Reward,10,0.33,0.022,7,False,64,Awareness,74.59
FAN000167,Lapsed Fan,Welcome Series,8,0.321,0.138,30,False,31,Awareness,171.18
FAN000168,Converted Fan,Content Newsletter,8,0.546,0.163,39,True,67,Consideration,4.32
FAN000169,Casual Viewer,Content Newsletter,3,0.359,0.134,8,False,7,Conversion,9.39
FAN000170,Converted Fan,Re-engagement,4,0.213,0.027,18,False,40,Churned,28.62
FAN000171,New to Soccer,Content Newsletter,11,0.336,0.127,40,True,18,Awareness,4.04
FAN000172,Converted Fan,Re-engagement,6,0.589,0.105,17,False,49,Loyalty,99.45
FAN000173,New to Soccer,Loyalty Reward,7,0.309,0.036,26,False,21,Awareness,44.45
FAN000174,Casual Viewer,Merchandise Offer,10,0.382,0.084,11,False,13,Awareness,25.69
FAN000175,Casual Viewer,Loyalty Reward,3,0.289,0.18,1,False,15,Loyalty,5.11
FAN000176,Lapsed Fan,Re-engagement,8,0.39,0.078,14,True,79,Awareness,55.98
FAN000177,Casual Viewer,Content Newsletter,11,0.289,0.092,44,True,19,Consideration,24.86
FAN000178,Casual Viewer,Welcome Series,7,0.185,0.14,38,True,36,Awareness,22.17
FAN000179,Converted Fan,Welcome Series,7,0.23,0.137,12,True,55,Conversion,267.84
FAN000180,Lapsed Fan,Re-engagement,7,0.341,0.163,34,False,10,Churned,160.23
FAN000181,New to Soccer,Welcome Series,6,0.264,0.023,27,True,15,Awareness,74.66
FAN000182,Converted Fan,Content Newsletter,6,0.19,0.067,4,True,88,Churned,65.66
FAN000183,Casual Viewer,Content Newsletter,2,0.329,0.119,21,False,1,Churned,86.0
FAN000184,New to Soccer,Ticket Upsell,11,0.452,0.05,10,False,44,Conversion,128.87
FAN000185,New to Soccer,Content Newsletter,11,0.391,0.04,7,True,53,Loyalty,11.92
FAN000186,Casual Viewer,Loyalty Reward,9,0.132,0.138,36,True,0,Consideration,118.52
FAN000187,Casual Viewer,Merchandise Offer,10,0.301,0.203,28,False,25,Consideration,36.69
FAN000188,Lapsed Fan,Loyalty Reward,8,0.234,0.171,17,True,78,Loyalty,88.72
FAN000189,Converted Fan,Merchandise Offer,4,0.584,0.054,22,True,50,Loyalty,6.41
FAN000190,Casual Viewer,Loyalty Reward,3,0.276,0.13,25,False,35,Conversion,5.0
FAN000191,Lapsed Fan,Ticket Upsell,11,0.121,0.068,34,True,44,Churned,88.34
FAN000192,Converted Fan,Loyalty Reward,6,0.286,0.104,4,False,35,Consideration,22.42
FAN000193,New to Soccer,Ticket Upsell,9,0.461,0.086,42,False,69,Awareness,73.92
FAN000194,New to Soccer,Merchandise Offer,10,0.299,0.132,40,False,56,Consideration,24.37
FAN000195,Casual Viewer,Content Newsletter,2,0.276,0.02,7,False,66,Consideration,155.95
FAN000196,Casual Viewer,Welcome Series,4,0.348,0.031,3,False,20,Consideration,49.49
FAN000197,Casual Viewer,Content Newsletter,1,0.14,0.063,39,True,67,Consideration,30.2
FAN000198,Casual Viewer,Ticket Upsell,2,0.214,0.061,39,False,58,Conversion,150.99
FAN000199,Casual Viewer,Re-engagement,3,0.321,0.214,22,False,40,Loyalty,96.15
FAN000200,New to Soccer,Merchandise Offer,9,0.388,0.105,37,False,68,Consideration,108.73
FAN000201,New to Soccer,Content Newsletter,1,0.442,0.093,5,True,81,Consideration,30.42
FAN000202,Casual Viewer,Content Newsletter,2,0.396,0.029,30,True,26,Awareness,192.0
FAN000203,New to Soccer,Re-engagement,6,0.461,0.111,10,True,86,Consideration,204.3
FAN000204,New to Soccer,Re-engagement,5,0.456,0.037,1,False,14,Awareness,15.35
FAN000205,Converted Fan,Merchandise Offer,9,0.382,0.145,1,True,31,Consideration,66.97
FAN000206,Converted Fan,Content Newsletter,1,0.219,0.04,41,False,37,Consideration,81.56
FAN000207,Converted Fan,Merchandise Offer,11,0.362,0.01,21,True,48,Consideration,37.23
FAN000208,New to Soccer,Re-engagement,9,0.442,0.132,3,True,22,Loyalty,208.47
FAN000209,Converted Fan,Re-engagement,10,0.364,0.129,14,True,27,Consideration,13.57
FAN000210,New to Soccer,Loyalty Reward,1,0.321,0.128,2,False,32,Conversion,344.52
FAN000211,Converted Fan,Loyalty Reward,11,0.335,0.084,3,True,89,Churned,81.44
FAN000212,New to Soccer,Re-engagement,10,0.279,0.111,39,True,56,Consideration,62.7
FAN000213,Lapsed Fan,Loyalty Reward,11,0.28,0.06,33,False,15,Loyalty,4.66
FAN000214,New to Soccer,Content Newsletter,2,0.4,0.14,5,True,54,Awareness,33.44
FAN000215,Casual Viewer,Content Newsletter,4,0.385,0.157,9,False,20,Churned,129.87
FAN000216,Casual Viewer,Loyalty Reward,11,0.362,0.033,44,False,19,Awareness,176.34
FAN000217,Converted Fan,Ticket Upsell,8,0.305,0.05,36,False,7,Churned,78.89
FAN000218,Lapsed Fan,Content Newsletter,1,0.413,0.088,35,False,33,Consideration,79.99
FAN000219,Converted Fan,Content Newsletter,7,0.36,0.076,10,True,64,Loyalty,107.96
FAN000220,Casual Viewer,Content Newsletter,7,0.255,0.14,32,True,54,Loyalty,180.83
FAN000221,Casual Viewer,Loyalty Reward,8,0.459,0.042,22,False,5,Conversion,113.56
FAN000222,Casual Viewer,Content Newsletter,7,0.259,0.121,42,True,13,Conversion,28.17
FAN000223,New to Soccer,Ticket Upsell,3,0.202,0.033,20,False,8,Awareness,203.34
FAN000224,Lapsed Fan,Ticket Upsell,3,0.495,0.094,28,True,64,Consideration,20.44
FAN000225,Casual Viewer,Ticket Upsell,10,0.46,0.169,34,True,24,Awareness,109.61
FAN000226,Lapsed Fan,Loyalty Reward,4,0.429,0.179,43,True,19,Awareness,27.63
FAN000227,New to Soccer,Content Newsletter,11,0.577,0.097,28,False,27,Conversion,195.33
FAN000228,Converted Fan,Ticket Upsell,1,0.376,0.07,40,False,11,Awareness,34.19
FAN000229,Converted Fan,Loyalty Reward,7,0.416,0.051,5,True,78,Awareness,8.83
FAN000230,New to Soccer,Content Newsletter,10,0.281,0.061,29,False,37,Churned,21.69
FAN000231,Casual Viewer,Loyalty Reward,2,0.391,0.01,30,False,40,Conversion,176.91
FAN000232,Lapsed Fan,Merchandise Offer,1,0.272,0.07,21,False,17,Awareness,109.32
FAN000233,Lapsed Fan,Ticket Upsell,4,0.332,0.146,35,False,78,Awareness,20.68
FAN000234,Lapsed Fan,Merchandise Offer,3,0.335,0.113,41,True,5,Churned,62.63
FAN000235,Converted Fan,Re-engagement,5,0.321,0.104,23,True,57,Consideration,200.65
FAN000236,New to Soccer,Ticket Upsell,6,0.269,0.144,1,False,80,Awareness,78.69
FAN000237,Casual Viewer,Re-engagement,2,0.203,0.022,2,True,40,Churned,45.29
FAN000238,Lapsed Fan,Re-engagement,5,0.292,0.051,10,True,6,Conversion,87.98
FAN000239,Lapsed Fan,Welcome Series,7,0.404,0.124,6,True,16,Awareness,23.16
FAN000240,Casual Viewer,Content Newsletter,1,0.396,0.12,5,False,86,Consideration,69.88
FAN000241,Casual Viewer,Merchandise Offer,1,0.314,0.067,17,True,25,Consideration,88.47
FAN000242,Lapsed Fan,Merchandise Offer,6,0.282,0.077,14,True,49,Awareness,227.0
FAN000243,Lapsed Fan,Welcome Series,4,0.413,0.162,33,False,88,Loyalty,108.77
FAN000244,New to Soccer,Content Newsletter,10,0.209,0.094,30,False,45,Conversion,35.31
FAN000245,Converted Fan,Ticket Upsell,8,0.536,0.154,35,False,15,Awareness,43.96
FAN000246,New to Soccer,Loyalty Reward,7,0.454,0.077,38,True,58,Conversion,311.1
FAN000247,Converted Fan,Welcome Series,7,0.182,0.065,16,True,67,Conversion,103.15
FAN000248,Lapsed Fan,Ticket Upsell,7,0.294,0.079,18,True,14,Awareness,1.76
FAN000249,New to Soccer,Content Newsletter,6,0.165,0.056,43,True,60,Consideration,16.66
FAN000250,Casual Viewer,Loyalty Reward,3,0.498,0.081,7,True,41,Loyalty,12.45
FAN000251,Casual Viewer,Content Newsletter,5,0.185,0.134,1,True,19,Churned,92.41
FAN000252,New to Soccer,Ticket Upsell,11,0.388,0.074,19,True,84,Loyalty,69.94
FAN000253,New to Soccer,Content Newsletter,9,0.4,0.02,34,False,16,Consideration,13.28
FAN000254,Casual Viewer,Ticket Upsell,10,0.064,0.047,44,False,73,Loyalty,6.54
FAN000255,Casual Viewer,Ticket Upsell,4,0.159,0.107,9,True,63,Conversion,10.36
FAN000256,Casual Viewer,Ticket Upsell,7,0.348,0.016,19,True,24,Loyalty,152.06
FAN000257,Converted Fan,Re-engagement,11,0.382,0.035,10,True,56,Consideration,81.89
FAN000258,New to Soccer,Content Newsletter,10,0.38,0.142,20,True,14,Churned,176.82
FAN000259,Lapsed Fan,Loyalty Reward,5,0.272,0.115,4,True,7,Awareness,292.83
FAN000260,Casual Viewer,Loyalty Reward,10,0.378,0.054,44,True,56,Loyalty,51.11
FAN000261,New to Soccer,Merchandise Offer,6,0.458,0.143,26,False,45,Loyalty,399.93
FAN000262,Casual Viewer,Ticket Upsell,10,0.19,0.118,17,False,34,Consideration,167.52
FAN000263,Converted Fan,Merchandise Offer,5,0.181,0.1,40,True,39,Conversion,6.32
FAN000264,Casual Viewer,Re-engagement,5,0.473,0.022,22,False,18,Awareness,31.91
FAN000265,Lapsed Fan,Content Newsletter,1,0.275,0.079,12,True,12,Conversion,3.61
FAN000266,Casual Viewer,Merchandise Offer,7,0.304,0.055,15,False,2,Awareness,38.72
FAN000267,Casual Viewer,Content Newsletter,5,0.294,0.099,43,False,39,Consideration,70.91
FAN000268,Casual Viewer,Re-engagement,5,0.308,0.065,1,False,35,Loyalty,109.75
FAN000269,Lapsed Fan,Ticket Upsell,10,0.291,0.105,34,False,43,Conversion,94.59
FAN000270,New to Soccer,Welcome Series,8,0.324,0.09,36,False,60,Conversion,168.8
FAN000271,Lapsed Fan,Re-engagement,7,0.217,0.098,14,False,22,Awareness,36.22
FAN000272,Casual Viewer,Content Newsletter,6,0.057,0.091,30,False,46,Churned,83.77
FAN000273,New to Soccer,Ticket Upsell,7,0.475,0.025,41,False,82,Consideration,192.47
FAN000274,Casual Viewer,Content Newsletter,10,0.189,0.143,24,True,27,Loyalty,98.92
FAN000275,Casual Viewer,Content Newsletter,7,0.465,0.144,36,True,37,Loyalty,76.81
FAN000276,Lapsed Fan,Content Newsletter,3,0.35,0.11,41,True,72,Conversion,6.57
FAN000277,Casual Viewer,Welcome Series,5,0.238,0.124,43,False,86,Awareness,194.96
FAN000278,Converted Fan,Loyalty Reward,1,0.47,0.019,27,False,12,Conversion,9.58
FAN000279,Lapsed Fan,Merchandise Offer,8,0.508,0.122,44,True,72,Awareness,89.81
FAN000280,Casual Viewer,Ticket Upsell,11,0.355,0.141,37,False,16,Awareness,14.89
FAN000281,New to Soccer,Loyalty Reward,11,0.218,0.112,6,False,48,Churned,59.98
FAN000282,Casual Viewer,Loyalty Reward,1,0.395,0.108,28,True,42,Loyalty,34.9
FAN000283,Converted Fan,Merchandise Offer,3,0.172,0.062,26,False,41,Awareness,17.7
FAN000284,Casual Viewer,Ticket Upsell,10,0.425,0.157,14,True,55,Loyalty,183.84
FAN000285,Converted Fan,Re-engagement,7,0.44,0.111,1,True,50,Loyalty,26.91
FAN000286,Converted Fan,Welcome Series,2,0.573,0.059,10,False,84,Awareness,389.28
FAN000287,Casual Viewer,Re-engagement,3,0.388,0.14,10,False,49,Loyalty,45.89
FAN000288,Lapsed Fan,Merchandise Offer,6,0.146,0.09,28,True,24,Conversion,7.9
FAN000289,Casual Viewer,Loyalty Reward,8,0.526,0.061,12,False,31,Conversion,34.92
FAN000290,New to Soccer,Content Newsletter,5,0.33,0.092,32,True,81,Churned,10.23
FAN000291,Casual Viewer,Ticket Upsell,10,0.582,0.137,8,True,35,Churned,61.29
FAN000292,Lapsed Fan,Content Newsletter,6,0.269,0.097,43,True,41,Loyalty,77.6
FAN000293,Lapsed Fan,Loyalty Reward,4,0.473,0.109,39,False,40,Conversion,11.17
FAN000294,Converted Fan,Content Newsletter,3,0.378,0.112,19,False,12,Conversion,127.95
FAN000295,Casual Viewer,Welcome Series,8,0.471,0.035,23,True,48,Conversion,17.35
